"bill_id","govtrack_id","sponsor_title"
s705-100,401709,Sen
hr1154-98,300091,Rep
hr3759-102,400083,Rep
hr1291-97,401274,Rep
s476-110,300048,Sen
hres1506-94,404297,Rep
sres144-116,412549,Sen
hr2733-106,400571,Rep
sres426-94,401391,Sen
hr4319-95,410186,Rep
hr4215-105,400431,Rep
hr3220-117,400350,Rep.
hr1073-105,400511,Rep
s462-110,300082,Sen
s1239-108,300029,Sen
s2354-108,300071,Sen
hr6519-93,405962,Rep
hr1879-109,400058,Rep
hr12101-93,409575,Rep
hr11537-94,410186,Rep
s2417-96,401391,Sen
hr9017-93,400680,Rep
s3207-101,300082,Sen
hr2177-102,400316,Rep
s2665-93,404343,Sen
hr1563-116,412819,Rep
s1301-99,300159,Sen
hr2799-103,400370,Rep
sres334-93,410894,Sen
s947-112,412320,Sen
s193-96,410894,Sen
s3249-112,412384,Sen
hres629-108,400333,Rep
hr755-109,400082,Rep
hr4304-117,412712,Rep.
hr2222-111,400647,Rep
hr5650-102,300037,Rep
hr11478-93,400680,Rep
hr4900-93,401322,Rep
s1405-116,412549,Sen
s367-104,300037,Sen
s830-105,300057,Sen
hjres679-101,400083,Rep
hr5756-95,401540,Rep
s3181-116,300075,Sen
s595-95,401391,Sen
hres1032-110,412240,Rep
hr12022-95,411296,Rep
hr3288-104,401854,Rep
s585-103,300048,Sen
sres388-109,300045,Sen
hr3431-104,400431,Rep
hr6300-95,409575,Rep
s625-103,300071,Sen
hr5825-116,400291,Rep
s590-104,300029,Sen
s660-107,300071,Sen
sjres69-99,300048,Sen
hr8513-116,412463,Rep
hconres51-101,400333,Rep
hr3127-101,300091,Rep
hr5639-102,400333,Rep
hres386-100,406740,Rep
s355-109,300037,Sen
hr4657-103,300085,Rep
s3339-114,300071,Sen.
s1836-104,300085,Sen
s1294-93,410894,Sen
s2895-98,401391,Sen
s2966-109,300045,Sen
hr1741-114,412427,Rep.
hr4707-98,411025,Rep
s607-110,400418,Sen
sjres145-101,300082,Sen
hr2926-112,412473,Rep
s3208-106,300057,Sen
hr8850-93,400333,Rep
hr1627-104,400571,Rep
hr1151-94,411479,Rep
s643-115,300048,Sen
hr4357-94,400680,Rep
hr568-117,456827,Rep.
hjres286-93,401274,Rep
hr3221-106,400181,Rep
hr2211-112,412308,Rep
hr4858-96,401238,Rep
s1022-103,401709,Sen
s694-100,401391,Sen
s1431-104,300071,Sen
hjres43-96,404880,Rep
s1668-109,300085,Sen
s571-110,300037,Sen
hr4359-109,400421,Rep
s655-107,300071,Sen
s3783-94,405969,Sen
hr846-102,402114,Rep
hr617-104,400333,Rep
hr165-96,401819,Rep
s828-95,405969,Sen
hres1038-111,412308,Rep
hjres996-94,400680,Rep
hr11237-95,404297,Rep
hr14477-94,300057,Rep
s2429-106,300057,Sen
hr3042-105,400226,Rep
hr9196-95,401819,Rep
s845-106,300085,Sen
hconres119-102,400291,Rep
sres195-113,300082,Sen
s1380-112,400418,Sen
hr3836-105,400128,Rep
sres88-112,300091,Sen
s3342-93,405721,Sen
hr2354-99,400898,Rep
hr3698-106,400431,Rep
hres746-111,412308,Rep
hr4935-114,412254,Rep.
hr5025-103,400504,Rep
s185-107,300037,Sen
hr275-114,400350,Rep.
s2902-110,300091,Sen
hr784-102,300037,Rep
hconres187-107,400518,Rep
hr3542-104,400012,Rep
s78-114,400418,Sen.
hr7346-96,300048,Rep
hr967-101,402114,Rep
s2603-98,300048,Sen
hr1955-117,456808,Rep.
hr2854-97,400333,Rep
s818-108,300091,Sen
s1715-102,300159,Sen
s121-104,300159,Sen
hr4626-107,400188,Rep
s852-114,400418,Sen.
hr7739-116,412775,Rep
hr492-109,400322,Rep
hr13606-95,405646,Rep
hr10661-94,411479,Rep
hr2311-93,404297,Rep
s3516-114,300071,Sen.
s2793-102,400561,Sen
s2569-100,401709,Sen
hres941-111,412308,Rep
hconres203-109,400333,Rep
hr5302-96,401274,Rep
s595-103,300048,Sen
s443-94,401391,Sen
sres193-113,300071,Sen
sjres112-101,300048,Sen
hr5867-96,403260,Rep
hconres546-95,300057,Rep
s822-110,300091,Sen
s1410-93,407481,Sen
hr787-108,400058,Rep
s3105-95,406918,Sen
s2242-100,300031,Sen
hr534-104,400226,Rep
hr4907-101,409968,Rep
hr6906-116,412730,Rep
s440-97,406188,Sen
hr13473-95,411025,Rep
